Date,Airline,Flight,From,To,Dep Terminal,Dep Gate,Arr Terminal,Arr Gate,Canceled,Diverted To,Gate Departure (Scheduled),Gate Departure (Actual),Take off (Scheduled),Take off (Actual),Landing (Scheduled),Landing (Actual),Gate Arrival (Scheduled),Gate Arrival (Actual),Aircraft Type Name,Tail Number,PNR,Seat,Seat Type,Cabin Class,Flight Reason,Notes,Flight Flighty ID,Airline Flighty ID,Departure Airport Flighty ID,Arrival Airport Flighty ID,Diverted To Airport Flighty ID,Aircraft Type Flighty ID
2016-11-09,ABY,484,AMD,SHJ,2,,,,false,,2016-11-09T05:15,,,,2016-11-09T06:41,2016-11-09T06:41,2016-11-09T06:45,,Airbus A320,A6ANF,,,,,,,ec242d58-952b-4b44-b23f-ff00b0a5a692,248435be-0bba-4d2c-a977-51ad77f9c476,371c9336-6e4f-46ff-9830-190ad6a2f36e,c658ed92-3540-4bbe-9530-e6270a24ea87,,dd390a1f-e92a-4411-ab72-04db16d42030
2016-11-14,ABY,483,SHJ,AMD,,,2,,false,,2016-11-14T00:40,,2016-11-14T00:48,2016-11-14T00:48,2016-11-14T04:28,2016-11-14T04:28,2016-11-14T04:35,,Airbus A320,A6AOP,,,,,,,ecae6996-4922-4bc4-bba9-2be36189ffdd,248435be-0bba-4d2c-a977-51ad77f9c476,c658ed92-3540-4bbe-9530-e6270a24ea87,371c9336-6e4f-46ff-9830-190ad6a2f36e,,dd390a1f-e92a-4411-ab72-04db16d42030
2017-10-19,IGO,488,BDQ,DEL,,,T1C,,false,,2017-10-19T21:20,2017-10-19T21:03,,2017-10-19T21:10,2017-10-19T22:24,2017-10-19T22:24,2017-10-19T23:00,2017-10-19T22:38,Airbus A320,VTIAP,,,,,,,0fd29352-c03b-4ae7-9bec-44a35875cb2b,6138dc1e-c866-4da6-bda7-f7f9c9d30784,389cea0c-46e2-4d46-abdb-7d3148672f13,8efaad68-a8cb-45c5-b819-dfeb8cbe505b,,dd390a1f-e92a-4411-ab72-04db16d42030
2017-10-20,JAI,2368,DEL,IXL,T3,,,,false,,2017-10-20T05:40,2017-10-20T05:36,,2017-10-20T05:57,2017-10-20T06:47,,2017-10-20T07:05,2017-10-20T06:58,Boeing 737-700,VTJGY,,,,,,,cebd10b1-26b1-414f-a608-1f564cfa3b01,b6bd9f68-b434-4e67-a048-402f1e22c762,8efaad68-a8cb-45c5-b819-dfeb8cbe505b,329c1c7c-0ef7-4cbf-a1c4-5d7b052d2e4b,,886c3a0c-c7a3-4205-982f-35cddc765ae1
2017-10-25,IGO,4064,DEL,BDQ,T1D,,,,false,,2017-10-25T14:10,2017-10-25T14:13,,2017-10-25T14:22,,,2017-10-25T15:40,2017-10-25T15:37,Airbus A320,VTIFY,,,,,,,6de7d481-1fc4-4de9-b54e-f524e5264409,6138dc1e-c866-4da6-bda7-f7f9c9d30784,8efaad68-a8cb-45c5-b819-dfeb8cbe505b,389cea0c-46e2-4d46-abdb-7d3148672f13,,dd390a1f-e92a-4411-ab72-04db16d42030
2018-05-26,JAI,687,AMD,DEL,1,,T3,,false,,2018-05-26T07:00,2018-05-26T06:53,,2018-05-26T07:02,2018-05-26T08:11,2018-05-26T08:11,2018-05-26T08:40,2018-05-26T08:18,Boeing 737-800,VTJGW,,,,,,,fb8d94e5-dc03-4f19-a522-7f2a1e73f113,b6bd9f68-b434-4e67-a048-402f1e22c762,371c9336-6e4f-46ff-9830-190ad6a2f36e,8efaad68-a8cb-45c5-b819-dfeb8cbe505b,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2018-05-26,JAI,66,DEL,BKK,T3,,,,false,,2018-05-26T13:55,2018-05-26T13:55,,2018-05-26T14:14,2018-05-26T19:52,2018-05-26T19:43,2018-05-26T19:55,2018-05-26T19:57,Boeing 737-900ER,VTJLJ,,,,,,,35a29b60-da3e-4a93-9bd7-48964212106c,b6bd9f68-b434-4e67-a048-402f1e22c762,8efaad68-a8cb-45c5-b819-dfeb8cbe505b,548d409f-68f7-4450-aaaf-87133919af6d,,24012541-435d-4a27-af8a-4791336f1965
2018-05-27,TLM,752,DMK,HKT,2,,,,false,,2018-05-27T00:05,,2018-05-27T00:21,2018-05-27T00:21,,,2018-05-27T01:30,,Airbus A330-300,HSLAJ,,,,,,,97680096-f5e3-475d-9f9f-20e70ee35237,ee625d9e-cb1d-44ba-b7e0-98b57f172e28,99e501ce-1da8-427e-b685-4f54c4a1a6ee,5c2e8f65-88c9-4917-a076-4043eff8a926,,6eab475b-ae92-46cd-a1b8-66937c85f7cc
2018-05-30,TLM,755,HKT,DMK,,,2,,false,,2018-05-30T09:05,,,,2018-05-30T10:31,2018-05-30T10:31,2018-05-30T10:30,,Airbus A330-300,HSLAJ,,,,,,,92df16dd-955d-4eb9-b304-16e9790ba788,ee625d9e-cb1d-44ba-b7e0-98b57f172e28,5c2e8f65-88c9-4917-a076-4043eff8a926,99e501ce-1da8-427e-b685-4f54c4a1a6ee,,6eab475b-ae92-46cd-a1b8-66937c85f7cc
2018-06-01,JAI,63,BKK,DEL,,,T3,,false,,2018-06-01T20:10,2018-06-01T20:10,,,,,2018-06-01T23:15,2018-06-01T23:14,Boeing 737-900ER,VTJLH,,,,,,,99cb204a-791d-49fe-93a4-094be1be3e54,b6bd9f68-b434-4e67-a048-402f1e22c762,548d409f-68f7-4450-aaaf-87133919af6d,8efaad68-a8cb-45c5-b819-dfeb8cbe505b,,24012541-435d-4a27-af8a-4791336f1965
2018-06-02,JAI,690,DEL,AMD,T3,,1,,false,,2018-06-02T19:10,2018-06-02T19:37,,2018-06-02T19:55,2018-06-02T21:07,2018-06-02T21:07,2018-06-02T20:40,2018-06-02T21:12,Boeing 737-800,VTJFJ,,,,,,,a947207e-393a-4db3-be8f-b3b2fbc3a583,b6bd9f68-b434-4e67-a048-402f1e22c762,8efaad68-a8cb-45c5-b819-dfeb8cbe505b,371c9336-6e4f-46ff-9830-190ad6a2f36e,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2018-12-10,JAI,2344,BDQ,BOM,,,2,,false,,2018-12-10T21:30,2018-12-10T22:52,,,2018-12-11T00:06,2018-12-11T00:06,2018-12-10T22:40,2018-12-11T00:14,Boeing 737-800,VT-JLF,,,,,,,d4753f83-0898-477a-8487-8f1503c66de6,b6bd9f68-b434-4e67-a048-402f1e22c762,389cea0c-46e2-4d46-abdb-7d3148672f13,2a6e27e3-f8ac-493e-adef-ee363a722a29,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2018-12-11,GOW,461,BOM,IXZ,1,,,,false,,2018-12-11T04:00,2018-12-11T03:50,2018-12-11T04:06,2018-12-11T04:06,,,2018-12-11T07:25,2018-12-11T07:05,Airbus A320neo,VTWGF,,,,,,,fbd92923-ed70-4e3b-891c-bb84c4f70c95,bd483a2f-6595-4962-aa4b-1ad6ee167525,2a6e27e3-f8ac-493e-adef-ee363a722a29,b38c59ea-5317-4bd2-97f2-938ed33e6cf2,,fc3bd268-833c-40f4-a74c-9512dabcbe08
2018-12-16,GOW,465,IXZ,BOM,,,1,,false,,2018-12-16T07:55,2018-12-16T07:42,,,2018-12-16T11:20,2018-12-16T11:20,2018-12-16T11:35,2018-12-16T11:29,Airbus A320neo,VTWGB,,,,,,,402bb16b-680d-477e-a589-639712eeeb66,bd483a2f-6595-4962-aa4b-1ad6ee167525,b38c59ea-5317-4bd2-97f2-938ed33e6cf2,2a6e27e3-f8ac-493e-adef-ee363a722a29,,fc3bd268-833c-40f4-a74c-9512dabcbe08
2018-12-16,IGO,621,BOM,BDQ,1,,,,false,,2018-12-16T15:30,2018-12-16T16:10,,2018-12-16T16:41,2018-12-16T17:19,2018-12-16T17:19,2018-12-16T16:40,2018-12-16T17:25,Airbus A320neo,VTIZF,,,,,,,c9b38431-9099-4497-8111-bac90da38e0a,6138dc1e-c866-4da6-bda7-f7f9c9d30784,2a6e27e3-f8ac-493e-adef-ee363a722a29,389cea0c-46e2-4d46-abdb-7d3148672f13,,fc3bd268-833c-40f4-a74c-9512dabcbe08
2019-05-12,IGO,2591,BDQ,DEL,,,T2,,false,,2019-05-12T07:00,2019-05-12T07:20,,2019-05-12T07:30,2019-05-12T08:47,2019-05-12T08:47,2019-05-12T08:35,2019-05-12T08:53,Airbus A320,VTIHH,,,,,,,0ec0c2eb-2da4-4eed-baa5-ee4774f5a985,6138dc1e-c866-4da6-bda7-f7f9c9d30784,389cea0c-46e2-4d46-abdb-7d3148672f13,8efaad68-a8cb-45c5-b819-dfeb8cbe505b,,dd390a1f-e92a-4411-ab72-04db16d42030
